L I	L III	L II(Calc.)
-0.0439453	-0.0604248	-0.10437
-0.0411987	-0.0619507	-0.103149
-0.0405884	-0.0622559	-0.102844
-0.0408936	-0.0616455	-0.102539
-0.0408936	-0.0604248	-0.101318
-0.0405884	-0.0585938	-0.0991821
-0.0405884	-0.0579834	-0.0985718
-0.0408936	-0.0576782	-0.0985718
-0.0418091	-0.0570679	-0.098877
-0.0430298	-0.0561523	-0.0991821
-0.0439453	-0.0549316	-0.098877
-0.0439453	-0.0537109	-0.0976563
-0.0436401	-0.0524902	-0.0961304
-0.0427246	-0.0509644	-0.093689
-0.0418091	-0.0494385	-0.0912476
-0.0411987	-0.0479126	-0.0891113
-0.0405884	-0.0466919	-0.0872803
-0.0405884	-0.0454712	-0.0860596
-0.0408936	-0.0439453	-0.0848389
-0.039978	-0.043335	-0.083313
-0.0393677	-0.0427246	-0.0820923
-0.0393677	-0.0421143	-0.0814819
-0.0390625	-0.0418091	-0.0808716
-0.038147	-0.0418091	-0.0799561
-0.0363159	-0.0421143	-0.0784302
-0.0341797	-0.043335	-0.0775146
-0.0326538	-0.0445557	-0.0772095
-0.0314331	-0.0463867	-0.0778198
-0.0311279	-0.0476074	-0.0787354
-0.0317383	-0.0485229	-0.0802612
-0.0335693	-0.0485229	-0.0820923
-0.0360107	-0.0482178	-0.0842285
-0.0372314	-0.0482178	-0.0854492
-0.0363159	-0.0482178	-0.0845337
-0.0341797	-0.0479126	-0.0820923
-0.0314331	-0.0466919	-0.078125
-0.0292969	-0.0445557	-0.0738525
-0.027771	-0.0418091	-0.0695801
-0.0259399	-0.0396729	-0.0656128
-0.0238037	-0.0384521	-0.0622559
-0.0219727	-0.0375366	-0.0595093
-0.0216675	-0.0366211	-0.0582886
-0.022583	-0.0360107	-0.0585938
-0.0241089	-0.0354004	-0.0595093
-0.0259399	-0.0357056	-0.0616455
-0.0280762	-0.0363159	-0.0643921
-0.0308228	-0.0363159	-0.0671387
-0.0332642	-0.0360107	-0.0692749
-0.0350952	-0.0354004	-0.0704956
-0.0360107	-0.03479	-0.0708008
-0.0357056	-0.03479	-0.0704956
-0.0354004	-0.0341797	-0.0695801
-0.0366211	-0.0326538	-0.0692749
-0.0384521	-0.0305176	-0.0689697
-0.039978	-0.0289917	-0.0689697
-0.0405884	-0.0283813	-0.0689697
-0.039978	-0.027771	-0.067749
-0.0393677	-0.0262451	-0.0656128
-0.0390625	-0.0234985	-0.062561
-0.0393677	-0.0186157	-0.0579834
-0.0402832	-0.0119019	-0.0521851
-0.0402832	-0.00427246	-0.0445557
-0.0396729	0.00366211	-0.0360107
-0.0393677	0.0119019	-0.0274658
-0.0387573	0.0204468	-0.0183105
-0.0375366	0.027771	-0.00976563
-0.0366211	0.0344849	-0.00213623
-0.0369263	0.0411987	0.00427246
-0.0372314	0.0473022	0.0100708
-0.0360107	0.0518799	0.0158691
-0.0338745	0.0564575	0.022583
-0.0311279	0.0613403	0.0302124
-0.0292969	0.0689697	0.0396729
-0.0283813	0.0799561	0.0515747
-0.027771	0.0930786	0.0653076
-0.027771	0.106506	0.0787354
-0.0283813	0.120239	0.0918579
-0.0292969	0.133972	0.104675
-0.0299072	0.145874	0.115967
-0.0292969	0.15564	0.126343
-0.0283813	0.162048	0.133667
-0.0271606	0.164185	0.137024
-0.0253296	0.161133	0.135803
-0.0238037	0.153809	0.130005
-0.0231934	0.143127	0.119934
-0.0228882	0.13092	0.108032
-0.0234985	0.118103	0.0946045
-0.0247192	0.10498	0.0802612
-0.0262451	0.0915527	0.0653076
-0.0283813	0.078125	0.0497437
-0.0305176	0.0640869	0.0335693
-0.0335693	0.0497437	0.0161743
-0.0375366	0.0360107	-0.00152588
-0.0421143	0.022583	-0.0195313
-0.045166	0.00854492	-0.0366211
-0.0463867	-0.00549316	-0.0518799
-0.0457764	-0.0195313	-0.0653076
-0.0439453	-0.0320435	-0.0759888
-0.0427246	-0.0427246	-0.0854492
-0.0427246	-0.0509644	-0.093689
-0.0418091	-0.0576782	-0.0994873
-0.0393677	-0.062561	-0.101929
-0.0363159	-0.0653076	-0.101624
-0.0338745	-0.0662231	-0.100098
-0.0320435	-0.065918	-0.0979614
-0.0302124	-0.0656128	-0.0958252
-0.0296021	-0.0662231	-0.0958252
-0.0296021	-0.0689697	-0.0985718
-0.0296021	-0.0744629	-0.104065
-0.0289917	-0.0836182	-0.11261
-0.0280762	-0.0946045	-0.122681
-0.0271606	-0.106201	-0.133362
-0.0256348	-0.118103	-0.143738
-0.0228882	-0.127869	-0.150757
-0.0195313	-0.133667	-0.153198
-0.015564	-0.133057	-0.148621
-0.00976563	-0.123291	-0.133057
-0.00183105	-0.102844	-0.104675
0.00701904	-0.0689697	-0.0619507
0.0152588	-0.0210571	-0.00579834
0.0219727	0.0408936	0.0628662
0.0265503	0.116272	0.142822
0.0299072	0.204468	0.234375
0.0332642	0.303345	0.336609
0.0384521	0.406189	0.444641
0.0460815	0.50415	0.550232
0.0561523	0.591431	0.647583
0.0680542	0.663757	0.731812
0.0805664	0.718689	0.799255
0.0930786	0.751038	0.844116
0.10437	0.755005	0.859375
0.111389	0.728455	0.839844
0.111389	0.674438	0.785828
0.102539	0.598145	0.700684
0.0848389	0.505371	0.59021
0.0604248	0.401917	0.462341
0.0320435	0.2948	0.326843
0.00213623	0.189819	0.191956
-0.0262451	0.093689	0.0674438
-0.0515747	0.0119019	-0.0396729
-0.0717163	-0.0524902	-0.124207
-0.0842285	-0.0982666	-0.182495
-0.088501	-0.127258	-0.215759
-0.0845337	-0.142517	-0.227051
-0.0741577	-0.14679	-0.220947
-0.0610352	-0.143127	-0.204163
-0.0473022	-0.133972	-0.181274
-0.03479	-0.123291	-0.158081
-0.0253296	-0.112915	-0.138245
-0.0195313	-0.105286	-0.124817
-0.0167847	-0.100098	-0.116882
-0.0164795	-0.0976563	-0.114136
-0.0177002	-0.0976563	-0.115356
-0.0192261	-0.0991821	-0.118408
-0.0204468	-0.101624	-0.12207
-0.0222778	-0.103455	-0.125732
-0.0234985	-0.105286	-0.128784
-0.0238037	-0.106506	-0.13031
-0.0241089	-0.107117	-0.131226
-0.0244141	-0.107422	-0.131836
-0.0241089	-0.108643	-0.132751
-0.0219727	-0.110779	-0.132751
-0.0183105	-0.112915	-0.131226
-0.0137329	-0.115662	-0.129395
-0.00976563	-0.118408	-0.128174
-0.00610352	-0.121155	-0.127258
-0.00335693	-0.123596	-0.126953
-0.00183105	-0.124817	-0.126648
-0.00183105	-0.124512	-0.126343
-0.00213623	-0.122986	-0.125122
-0.00427246	-0.120239	-0.124512
-0.00793457	-0.116882	-0.124817
-0.0119019	-0.113831	-0.125732
-0.0158691	-0.110779	-0.126648
-0.0204468	-0.108643	-0.129089
-0.0241089	-0.106506	-0.130615
-0.0259399	-0.105286	-0.131226
-0.0256348	-0.10437	-0.130005
-0.0247192	-0.103455	-0.128174
-0.0244141	-0.101929	-0.126343
