Stethoscope	ECG
-0.0622559	-0.00762939
-0.0784302	-0.00610352
-0.0531006	-0.00488281
-0.0231934	-0.00305176
0.0112915	-0.000305176
0.0531006	0.00335693
0.0695801	0.00640869
0.0790405	0.00793457
0.0485229	0.00793457
0.00701904	0.00671387
-0.0198364	0.00427246
-0.0296021	0.000610352
-0.0262451	-0.00488281
-0.0170898	-0.0119019
-0.0131226	-0.0192261
-0.0198364	-0.0262451
-0.0314331	-0.0326538
-0.0296021	-0.038147
-0.0204468	-0.0436401
-0.00732422	-0.0497437
0.00274658	-0.0558472
0.0131226	-0.0613403
0.0314331	-0.0656128
0.032959	-0.0680542
0.0115967	-0.0704956
0.0134277	-0.0738525
0.0115967	-0.0784302
0.0119019	-0.0839233
-0.0259399	-0.0900269
-0.067749	-0.0964355
-0.0656128	-0.102234
-0.017395	-0.107422
0.0436401	-0.11261
0.102844	-0.118408
0.113525	-0.123596
0.0698853	-0.127258
0.0140381	-0.130005
-0.0338745	-0.132751
-0.0375366	-0.133972
-0.0140381	-0.134277
-0.00183105	-0.134277
0.00976563	-0.134888
0.0283813	-0.136414
0.0390625	-0.138855
0.0302124	-0.139771
-0.0088501	-0.139465
-0.067749	-0.139771
-0.163269	-0.139771
-0.271606	-0.139771
-0.289917	-0.13916
-0.191345	-0.138855
-0.0125122	-0.138245
0.135193	-0.136414
0.195923	-0.135193
0.218506	-0.135193
0.226746	-0.135803
0.225525	-0.136719
0.171814	-0.137024
0.0836182	-0.136719
0.00579834	-0.136108
-0.06073	-0.134888
-0.105591	-0.133972
-0.117798	-0.133057
-0.0976563	-0.132751
-0.0564575	-0.132446
-0.0527954	-0.131836
-0.0762939	-0.131226
-0.0775146	-0.13092
-0.0549316	-0.131836
-0.00518799	-0.132141
0.0283813	-0.130615
0.0415039	-0.127563
0.0457764	-0.123596
0.0445557	-0.119019
0.0332642	-0.115051
0.0088501	-0.111694
-0.0253296	-0.109558
-0.0531006	-0.109253
-0.0418091	-0.110474
-0.0109863	-0.112305
0.0289917	-0.115356
0.0424194	-0.119019
0.0588989	-0.122375
0.0970459	-0.124207
0.114746	-0.125122
0.107727	-0.124512
0.0256348	-0.121155
-0.0708008	-0.115967
-0.123901	-0.110168
-0.13855	-0.10498
-0.117188	-0.101013
-0.0967407	-0.0985718
-0.0415039	-0.0973511
0.0204468	-0.0976563
0.0622559	-0.0994873
0.0866699	-0.101624
0.0964355	-0.10376
0.107117	-0.10498
0.0717163	-0.10498
0.0012207	-0.104675
-0.0628662	-0.104065
-0.0906372	-0.102234
-0.0765991	-0.0994873
-0.0662231	-0.0964355
-0.0326538	-0.093689
-0.00274658	-0.0921631
0.0137329	-0.0921631
0.0177002	-0.0933838
0.00213623	-0.09552
0.010376	-0.0979614
0.0335693	-0.100403
0.0488281	-0.103149
0.045166	-0.105896
0.0213623	-0.108643
0.00518799	-0.110779
-0.000305176	-0.112305
0.00366211	-0.111694
-0.00579834	-0.108643
-0.03479	-0.104675
-0.0634766	-0.101624
-0.0720215	-0.101318
-0.0631714	-0.101929
-0.0238037	-0.102539
0.0134277	-0.103149
0.0445557	-0.104675
0.0717163	-0.107422
0.0741577	-0.110779
0.0784302	-0.114136
0.06073	-0.116272
0.038147	-0.116882
0.0152588	-0.116272
-0.0204468	-0.115051
-0.0354004	-0.113525
-0.0671387	-0.111694
-0.112915	-0.109253
